transactions_id,sale_date,customer_id,gender,age,category,quantiy,price_per_unit,cogs,total_sale,sale_time
1734,2022-02-28,72,Female,27,Clothing,1,30,14.4,30,08:58:00
225,2022-03-05,85,Female,57,Beauty,4,25,12.75,100,07:37:00
679,2022-08-26,64,Female,18,Beauty,,,,,08:59:00
746,2022-07-05,42,Female,33,Clothing,,,,,11:33:00
1225,2022-02-02,137,Female,57,Beauty,,,,,09:51:00
1679,2022-09-23,71,Female,18,Beauty,3,30,15.3,90,08:08:00
1746,2022-06-13,88,Female,33,Clothing,3,30,10.8,90,07:59:00
3,2022-06-14,114,Male,50,Electronics,1,30,8.1,30,07:08:00
464,2022-03-06,24,Male,38,Electronics,2,300,75,600,11:13:00
484,2022-03-13,135,Female,19,Clothing,4,300,75,1200,07:52:00
591,2022-03-21,94,Male,53,Electronics,4,25,6.5,100,08:38:00
1003,2022-01-26,80,Male,50,Electronics,1,30,15.9,30,07:59:00
1464,2022-11-13,80,Male,38,Electronics,2,300,126,600,10:06:00
1484,2022-11-23,22,Female,19,Clothing,4,300,147,1200,09:29:00
1591,2022-09-29,62,Male,53,Electronics,4,25,7,100,11:00:00
21,2022-07-11,59,Female,50,Beauty,1,500,275,500,07:33:00
708,2022-04-06,62,Female,43,Beauty,3,300,87,900,08:38:00
713,2022-04-16,39,Male,34,Beauty,3,25,11.25,75,11:43:00
768,2022-06-27,58,Female,24,Beauty,3,25,10.5,75,06:50:00
1021,2022-06-11,44,Female,50,Beauty,1,500,155,500,10:19:00
1708,2022-02-08,41,Female,43,Beauty,3,300,162,900,07:47:00
1713,2022-10-03,90,Male,34,Beauty,3,25,10.75,75,10:10:00
1768,2022-07-31,85,Female,24,Beauty,3,25,8.75,75,09:52:00
499,2022-04-03,15,Male,46,Beauty,2,30,16.5,60,10:52:00
697,2022-12-25,152,Male,53,Clothing,1,500,200,500,07:52:00
831,2022-11-30,149,Male,27,Electronics,4,25,13.75,100,11:49:00
1499,2022-09-23,3,Male,46,Beauty,2,30,11.7,60,09:46:00
1697,2022-12-18,54,Male,53,Clothing,1,500,265,500,08:22:00
1831,2022-03-26,80,Male,27,Electronics,4,25,6.5,100,10:54:00
15,2022-07-01,75,Female,42,Electronics,4,500,210,2000,11:50:00
743,2022-08-07,55,Female,34,Beauty,4,500,260,2000,07:54:00
1015,2022-03-09,94,Female,42,Electronics,4,500,200,2000,11:53:00
1743,2022-10-26,47,Female,34,Beauty,4,500,250,2000,09:37:00
14,2022-05-18,8,Male,64,Clothing,4,30,13.2,120,07:11:00
103,2022-11-12,33,Female,59,Clothing,1,25,10.75,25,10:05:00
238,2022-05-10,20,Female,39,Beauty,1,500,150,500,11:52:00
986,2022-08-01,65,Female,49,Clothing,2,500,200,1000,09:35:00
1014,2022-02-04,147,Male,64,Clothing,4,30,11.4,120,10:26:00
1103,2022-02-14,61,Female,59,Clothing,1,25,6.75,25,07:11:00
1238,2022-09-17,129,Female,39,Beauty,1,500,165,500,07:38:00
1986,2022-09-14,29,Female,49,Clothing,2,500,145,1000,08:28:00
438,2022-08-31,88,Female,42,Clothing,1,30,15.9,30,10:15:00
1438,2022-01-07,72,Female,42,Clothing,1,30,13.8,30,10:00:00
475,2022-08-12,78,Male,26,Clothing,3,25,9,75,10:39:00
505,2022-12-17,86,Male,24,Beauty,1,50,19.5,50,07:25:00
1475,2022-10-04,132,Male,26,Clothing,3,25,10.75,75,07:03:00
1505,2022-10-30,98,Male,24,Beauty,1,50,14.5,50,08:00:00
344,2022-07-17,69,Female,42,Beauty,1,30,7.5,30,09:47:00
448,2022-03-19,86,Female,54,Beauty,2,30,16.2,60,09:36:00
742,2022-03-19,37,Female,38,Electronics,4,500,195,2000,06:08:00
1344,2022-12-18,144,Female,42,Beauty,1,30,11.1,30,06:12:00
1448,2022-05-16,51,Female,54,Beauty,2,30,9.3,60,06:28:00
1742,2022-11-22,18,Female,38,Electronics,4,500,220,2000,08:25:00
445,2022-04-14,132,Female,53,Electronics,1,300,138,300,10:48:00
787,2022-06-10,25,Male,41,Electronics,1,25,13.75,25,10:42:00
1445,2022-04-19,31,Female,53,Electronics,1,300,129,300,06:16:00
1787,2022-05-30,104,Male,41,Electronics,1,25,10,25,07:42:00
49,2022-09-17,37,Female,54,Electronics,2,500,255,1000,10:33:00
420,2022-01-02,28,Female,22,Clothing,4,500,200,2000,10:53:00
519,2022-04-08,52,Female,36,Electronics,4,30,16.5,120,10:17:00
1049,2022-05-16,143,Female,54,Electronics,2,500,125,1000,06:36:00
1420,2022-04-15,138,Female,22,Clothing,4,500,205,2000,07:01:00
1519,2022-01-08,139,Female,36,Electronics,4,30,9.3,120,07:35:00
64,2022-11-15,7,Male,49,Clothing,4,25,8.5,100,06:34:00
592,2022-12-26,77,Female,46,Beauty,4,500,275,2000,09:15:00
912,2022-10-31,122,Male,51,Beauty,3,50,20.5,150,06:18:00
1064,2022-04-14,49,Male,49,Clothing,4,25,13.75,100,10:38:00
1592,2022-03-16,81,Female,46,Beauty,4,500,155,2000,09:08:00
1912,2022-05-27,146,Male,51,Beauty,3,50,22,150,07:40:00
134,2022-08-25,132,Male,49,Electronics,1,50,16,50,09:03:00
1134,2022-08-05,106,Male,49,Electronics,1,50,24,50,09:04:00
288,2022-05-02,27,Male,28,Clothing,4,30,12,120,09:59:00
323,2022-01-21,97,Female,29,Beauty,3,300,150,900,08:22:00
618,2022-10-13,5,Female,27,Beauty,1,50,26,50,10:22:00
720,2022-04-08,116,Female,56,Beauty,3,500,235,1500,08:50:00
1288,2022-04-05,26,Male,28,Clothing,4,30,9,120,11:56:00
1323,2022-08-15,136,Female,29,Beauty,3,300,114,900,10:49:00
1618,2022-09-15,118,Female,27,Beauty,1,50,13.5,50,06:27:00
1720,2022-10-10,28,Female,56,Beauty,3,500,190,1500,08:51:00
415,2022-01-05,85,Male,53,Clothing,2,30,8.1,60,09:59:00
736,2022-12-18,97,Male,29,Clothing,4,25,9.75,100,08:30:00
929,2022-03-11,40,Female,23,Beauty,3,25,10.5,75,10:18:00
1415,2022-03-06,146,Male,53,Clothing,2,30,15.3,60,07:11:00
1736,2022-08-28,87,Male,29,Clothing,4,25,10.25,100,08:57:00
1929,2022-09-15,62,Female,23,Beauty,3,25,12.75,75,06:50:00
264,2022-12-26,111,Male,47,Clothing,3,300,150,900,11:03:00
913,2022-10-12,78,Male,29,Electronics,3,30,16.5,90,10:52:00
940,2022-01-05,46,Female,20,Electronics,1,30,9.6,30,08:11:00
1264,2022-05-27,82,Male,47,Clothing,3,300,123,900,09:23:00
1913,2022-06-23,101,Male,29,Electronics,3,30,14.1,90,07:10:00
1940,2022-06-15,56,Female,20,Electronics,1,30,11.1,30,09:47:00
101,2022-01-08,24,Male,32,Clothing,2,300,135,600,08:46:00
1101,2022-05-17,15,Male,32,Clothing,2,300,132,600,07:47:00
189,2022-01-02,143,Male,63,Beauty,1,50,14.5,50,09:44:00
317,2022-05-04,117,Male,22,Electronics,3,30,12,90,07:54:00
322,2022-10-19,13,Male,51,Electronics,1,500,125,500,06:11:00
329,2022-10-27,52,Female,46,Electronics,4,25,8,100,07:42:00
1189,2022-12-07,104,Male,63,Beauty,1,50,20.5,50,06:08:00
1317,2022-08-25,144,Male,22,Electronics,3,30,12,90,08:02:00
1322,2022-11-14,10,Male,51,Electronics,1,500,250,500,09:56:00
1329,2022-01-27,119,Female,46,Electronics,4,25,9.25,100,10:39:00
235,2022-03-10,132,Female,23,Electronics,2,500,275,1000,10:13:00
300,2022-01-08,138,Female,19,Electronics,4,50,26.5,200,09:41:00
964,2022-08-26,15,Male,24,Clothing,3,300,156,900,08:18:00
1235,2022-04-04,87,Female,23,Electronics,2,500,220,1000,06:44:00
1300,2022-08-08,7,Female,19,Electronics,4,50,24,200,08:57:00
1964,2022-08-02,115,Male,24,Clothing,3,300,111,900,08:27:00
269,2022-09-19,87,Male,25,Clothing,4,500,250,2000,11:31:00
320,2022-04-20,57,Female,28,Electronics,4,300,159,1200,08:35:00
673,2022-07-04,18,Female,43,Clothing,3,500,270,1500,10:14:00
1269,2022-01-01,71,Male,25,Clothing,4,500,145,2000,08:09:00
1320,2022-11-02,102,Female,28,Electronics,4,300,84,1200,11:55:00
1673,2022-06-14,42,Female,43,Clothing,3,500,185,1500,07:36:00
142,2022-04-08,61,Male,35,Electronics,4,300,138,1200,10:05:00
223,2022-01-15,61,Female,64,Clothing,1,25,12,25,11:18:00
666,2022-03-03,49,Male,51,Electronics,3,50,16,150,10:59:00
1142,2022-11-09,2,Male,35,Electronics,4,300,114,1200,09:49:00
1223,2022-02-20,106,Female,64,Clothing,1,25,9.75,25,07:40:00
1666,2022-12-08,125,Male,51,Electronics,3,50,21,150,10:10:00
107,2022-10-06,75,Female,21,Clothing,4,300,78,1200,09:18:00
933,2022-09-19,81,Male,22,Beauty,1,30,12.9,30,07:53:00
1107,2022-12-31,62,Female,21,Clothing,4,300,102,1200,11:14:00
1933,2022-01-12,121,Male,22,Beauty,1,30,14.4,30,11:04:00
237,2022-04-11,105,Female,50,Beauty,2,500,165,1000,08:54:00
335,2022-02-02,2,Female,47,Beauty,4,30,10.8,120,09:23:00
1237,2022-02-23,48,Female,50,Beauty,2,500,215,1000,09:20:00
1335,2022-05-27,117,Female,47,Beauty,4,30,8.7,120,08:45:00
63,2022-02-03,127,Male,57,Electronics,2,25,6.25,50,11:49:00
195,2022-08-14,10,Male,52,Clothing,1,30,9.3,30,11:51:00
333,2022-10-06,21,Female,54,Electronics,4,300,99,1200,08:15:00
379,2022-06-01,76,Female,47,Clothing,1,25,8.5,25,07:28:00
490,2022-01-27,43,Male,34,Clothing,3,50,18.5,150,06:07:00
530,2022-05-01,8,Female,18,Electronics,4,30,9,120,07:52:00
740,2022-12-01,33,Female,25,Beauty,4,50,13,200,06:58:00
793,2022-05-27,1,Male,54,Beauty,1,30,14.7,30,10:53:00
1063,2022-08-04,56,Male,57,Electronics,2,25,11,50,10:26:00
1195,2022-09-21,55,Male,52,Clothing,1,30,12,30,07:07:00
1333,2022-11-01,151,Female,54,Electronics,4,300,165,1200,11:38:00
1379,2022-01-02,69,Female,47,Clothing,1,25,7.25,25,06:23:00
1490,2022-10-26,155,Male,34,Clothing,3,50,17,150,07:15:00
1530,2022-12-10,93,Female,18,Electronics,4,30,12.3,120,08:17:00
1740,2022-07-16,66,Female,25,Beauty,4,50,27,200,06:01:00
1793,2022-12-11,88,Male,54,Beauty,1,30,10.8,30,06:05:00
85,2022-09-03,68,Male,31,Clothing,3,50,19,150,08:05:00
232,2022-08-12,150,Female,43,Beauty,1,25,12.75,25,07:14:00
240,2022-11-05,95,Female,23,Beauty,1,300,123,300,11:49:00
993,2022-09-07,134,Female,48,Electronics,3,50,17,150,09:21:00
1085,2022-08-12,76,Male,31,Clothing,3,50,17,150,09:29:00
1232,2022-05-23,146,Female,43,Beauty,1,25,6.25,25,08:05:00
1240,2022-08-07,144,Female,23,Beauty,1,300,90,300,07:42:00
1993,2022-12-29,123,Female,48,Electronics,3,50,26.5,150,11:53:00
366,2022-10-29,116,Male,57,Clothing,2,50,17.5,100,09:32:00
372,2022-06-19,27,Female,24,Beauty,3,500,140,1500,11:45:00
596,2022-02-12,87,Female,64,Electronics,1,300,93,300,08:44:00
936,2022-01-05,143,Male,57,Beauty,4,50,19.5,200,10:51:00
1366,2022-01-01,25,Male,57,Clothing,2,50,23.5,100,11:34:00
1372,2022-03-18,60,Female,24,Beauty,3,500,145,1500,10:53:00
1596,2022-03-28,7,Female,64,Electronics,1,300,141,300,06:22:00
1936,2022-06-19,60,Male,57,Beauty,4,50,12.5,200,11:32:00
284,2022-11-12,129,Male,43,Clothing,4,50,20.5,200,09:17:00
434,2022-10-26,50,Female,43,Electronics,2,25,8.25,50,06:09:00
775,2022-05-06,98,Female,46,Electronics,4,25,9.5,100,11:07:00
977,2022-07-26,46,Female,35,Electronics,3,25,13.75,75,08:35:00
1284,2022-12-16,145,Male,43,Clothing,4,50,18,200,11:43:00
1434,2022-02-04,147,Female,43,Electronics,2,25,7,50,10:02:00
1775,2022-12-18,78,Female,46,Electronics,4,25,13.75,100,08:04:00
1977,2022-08-05,63,Female,35,Electronics,3,25,12,75,10:46:00
649,2022-06-21,44,Female,58,Clothing,2,300,135,600,08:17:00
1649,2022-10-21,72,Female,58,Clothing,2,300,75,600,07:44:00
54,2022-10-20,142,Female,38,Electronics,3,500,200,1500,10:17:00
68,2022-12-15,146,Male,25,Electronics,1,300,84,300,09:06:00
192,2022-11-08,134,Male,62,Beauty,2,50,13,100,08:05:00
1054,2022-01-10,49,Female,38,Electronics,3,500,140,1500,09:24:00
1068,2022-09-14,136,Male,25,Electronics,1,300,111,300,10:11:00
1192,2022-03-29,37,Male,62,Beauty,2,50,20.5,100,08:41:00
331,2022-08-16,28,Male,28,Electronics,3,30,10.2,90,08:33:00
346,2022-09-05,38,Male,59,Clothing,2,500,215,1000,06:54:00
657,2022-01-29,46,Male,40,Clothing,1,25,8,25,08:53:00
732,2022-10-13,136,Male,61,Electronics,2,500,250,1000,08:45:00
972,2022-08-16,139,Male,49,Beauty,4,25,6.75,100,11:42:00
1331,2022-05-15,36,Male,28,Electronics,3,30,13.8,90,09:29:00
1346,2022-04-10,112,Male,59,Clothing,2,500,130,1000,10:01:00
1657,2022-08-09,61,Male,40,Clothing,1,25,8,25,10:05:00
1732,2022-02-25,55,Male,61,Electronics,2,500,215,1000,07:05:00
1972,2022-12-21,5,Male,49,Beauty,4,25,9.25,100,06:39:00
714,2022-10-29,20,Female,18,Clothing,1,500,190,500,08:50:00
1714,2022-11-23,111,Female,18,Clothing,1,500,245,500,06:07:00
193,2022-03-27,55,Male,35,Beauty,3,500,180,1500,10:40:00
577,2022-04-21,45,Male,21,Beauty,4,500,215,2000,11:55:00
848,2022-01-24,15,Female,63,Clothing,3,25,9.75,75,10:46:00
945,2022-10-01,120,Male,30,Beauty,1,25,13.25,25,10:01:00
1193,2022-05-11,50,Male,35,Beauty,3,500,145,1500,11:31:00
1577,2022-09-11,145,Male,21,Beauty,4,500,160,2000,06:22:00
1848,2022-12-27,63,Female,63,Clothing,3,25,12.5,75,10:16:00
1945,2022-04-19,33,Male,30,Beauty,1,25,10.75,25,09:55:00
11,2022-02-27,151,Male,23,Clothing,2,50,23.5,100,10:30:00
821,2022-11-23,40,Male,49,Electronics,1,300,129,300,11:27:00
1011,2022-04-01,15,Male,23,Clothing,2,50,19,100,06:48:00
1821,2022-10-03,42,Male,49,Electronics,1,300,108,300,07:17:00
133,2022-06-23,70,Male,20,Electronics,3,300,87,900,09:01:00
1133,2022-03-05,58,Male,20,Electronics,3,300,159,900,06:42:00
16,2022-06-25,82,Male,19,Clothing,3,500,180,1500,10:33:00
42,2022-12-08,63,Male,22,Clothing,3,300,147,900,08:29:00
292,2022-10-10,111,Male,20,Beauty,4,300,141,1200,06:33:00
416,2022-08-21,55,Male,53,Electronics,4,500,245,2000,09:29:00
584,2022-12-31,106,Female,27,Beauty,4,50,16.5,200,10:21:00
861,2022-09-30,22,Female,41,Clothing,3,30,9.6,90,08:57:00
1016,2022-12-12,52,Male,19,Clothing,3,500,200,1500,07:39:00
1042,2022-02-11,7,Male,22,Clothing,3,300,150,900,06:21:00
1292,2022-05-15,88,Male,20,Beauty,4,300,90,1200,08:20:00
1416,2022-12-29,111,Male,53,Electronics,4,500,125,2000,10:47:00
1584,2022-09-03,62,Female,27,Beauty,4,50,16.5,200,11:07:00
1861,2022-07-04,145,Female,41,Clothing,3,30,10.2,90,10:41:00
256,2022-01-09,3,Male,23,Clothing,2,500,270,1000,08:05:00
1256,2022-11-05,29,Male,23,Clothing,2,500,190,1000,09:58:00
44,2022-03-03,93,Female,22,Clothing,1,25,11.75,25,11:07:00
257,2022-12-10,130,Male,19,Beauty,4,500,165,2000,08:49:00
1044,2022-02-20,70,Female,22,Clothing,1,25,7.5,25,09:08:00
1257,2022-05-10,29,Male,19,Beauty,4,500,255,2000,11:55:00
268,2022-04-14,93,Female,28,Electronics,1,30,8.7,30,08:26:00
287,2022-08-26,88,Male,54,Clothing,4,25,10,100,11:07:00
966,2022-11-07,119,Male,60,Electronics,2,500,190,1000,07:22:00
1268,2022-06-09,15,Female,28,Electronics,1,30,14.1,30,09:33:00
1287,2022-09-13,120,Male,54,Clothing,4,25,7,100,08:03:00
1966,2022-07-20,74,Male,60,Electronics,2,500,200,1000,09:52:00
70,2022-12-27,147,Female,43,Clothing,1,300,84,300,10:48:00
371,2022-12-18,32,Female,20,Beauty,1,25,13,25,10:01:00
900,2022-11-10,130,Male,21,Clothing,2,30,15.6,60,08:41:00
1070,2022-07-14,102,Female,43,Clothing,1,300,120,300,11:12:00
1371,2022-05-06,41,Female,20,Beauty,1,25,13.5,25,06:52:00
1900,2022-01-21,65,Male,21,Clothing,2,30,10.8,60,06:43:00
8,2022-12-27,148,Male,30,Electronics,4,25,11,100,11:19:00
41,2022-10-11,88,Male,34,Clothing,2,25,13.25,50,10:36:00
454,2022-03-12,13,Female,46,Beauty,1,25,13,25,07:20:00
780,2022-07-06,107,Male,52,Electronics,2,25,13.25,50,11:30:00
920,2022-08-20,99,Female,28,Beauty,3,25,6.75,75,10:25:00
1008,2022-01-10,116,Male,30,Electronics,4,25,13,100,08:51:00
1041,2022-05-10,74,Male,34,Clothing,2,25,11,50,07:27:00
1454,2022-06-25,22,Female,46,Beauty,1,25,6.75,25,11:18:00
1780,2022-12-11,32,Male,52,Electronics,2,25,10.5,50,10:00:00
1920,2022-10-24,23,Female,28,Beauty,3,25,9.25,75,08:33:00
396,2022-12-15,29,Female,55,Beauty,1,30,10.8,30,07:11:00
1396,2022-06-07,9,Female,55,Beauty,1,30,8.4,30,06:23:00
168,2022-04-29,138,Male,53,Clothing,1,300,102,300,09:20:00
400,2022-03-08,2,Male,53,Clothing,4,50,24,200,09:52:00
611,2022-07-21,11,Male,51,Beauty,3,500,180,1500,08:13:00
800,2022-09-19,111,Male,32,Clothing,4,300,87,1200,07:33:00
1168,2022-07-10,68,Male,53,Clothing,1,300,150,300,07:56:00
1400,2022-09-12,115,Male,53,Clothing,4,50,20,200,11:54:00
1611,2022-11-17,125,Male,51,Beauty,3,500,180,1500,07:30:00
1800,2022-08-21,1,Male,32,Clothing,4,300,111,1200,10:53:00
272,2022-06-10,112,Female,61,Electronics,2,50,27.5,100,11:57:00
473,2022-09-25,1,Male,64,Beauty,1,50,14.5,50,10:09:00
506,2022-04-29,9,Male,34,Beauty,3,500,200,1500,07:13:00
766,2022-01-04,128,Male,38,Electronics,3,300,165,900,08:02:00
1272,2022-04-14,66,Female,61,Electronics,2,50,17,100,11:59:00
1473,2022-03-19,30,Male,64,Beauty,1,50,13,50,09:06:00
1506,2022-01-09,52,Male,34,Beauty,3,500,245,1500,07:31:00
1766,2022-11-22,6,Male,38,Electronics,3,300,129,900,06:08:00
135,2022-04-18,104,Male,20,Clothing,2,25,13,50,07:22:00
1135,2022-01-14,124,Male,20,Clothing,2,25,12.5,50,08:16:00
2,2022-06-24,104,Female,26,Clothing,2,500,135,1000,10:07:00
158,2022-01-21,141,Female,44,Electronics,2,300,132,600,11:38:00
185,2022-06-27,57,Male,24,Clothing,1,25,7,25,09:48:00
433,2022-07-29,144,Male,29,Beauty,4,50,20,200,08:48:00
1002,2022-03-02,69,Female,26,Clothing,2,500,270,1000,09:24:00
1158,2022-02-24,77,Female,44,Electronics,2,300,138,600,09:29:00
1185,2022-10-04,153,Male,24,Clothing,1,25,10.25,25,10:28:00
1433,2022-01-16,113,Male,29,Beauty,4,50,15.5,200,11:41:00
152,2022-06-16,120,Male,43,Electronics,4,500,210,2000,11:58:00
753,2022-07-06,70,Female,32,Clothing,1,30,15.9,30,10:07:00
763,2022-04-23,58,Male,34,Clothing,2,25,11.5,50,09:43:00
932,2022-10-08,120,Female,45,Beauty,4,25,7.75,100,08:33:00
1152,2022-12-26,87,Male,43,Electronics,4,500,170,2000,07:48:00
1753,2022-07-17,28,Female,32,Clothing,1,30,10.5,30,07:40:00
1763,2022-06-30,93,Male,34,Clothing,2,25,13.5,50,11:37:00
1932,2022-11-08,96,Female,45,Beauty,4,25,6.25,100,07:07:00
399,2022-12-07,136,Female,64,Beauty,2,30,12.9,60,09:25:00
500,2022-10-14,120,Female,60,Beauty,4,25,11.5,100,06:11:00
514,2022-11-04,139,Female,18,Electronics,1,300,96,300,08:35:00
1399,2022-01-28,15,Female,64,Beauty,2,30,16.2,60,09:32:00
1500,2022-04-20,53,Female,60,Beauty,4,25,8.5,100,08:36:00
1514,2022-07-12,59,Female,18,Electronics,1,300,75,300,10:55:00
947,2022-07-31,4,Male,50,Beauty,1,300,129,300,07:09:00
1947,2022-03-05,134,Male,50,Beauty,1,300,75,300,06:27:00
220,2022-05-07,138,Male,64,Beauty,1,500,140,500,06:44:00
339,2022-08-18,33,Female,22,Electronics,2,25,10.25,50,10:27:00
785,2022-10-19,88,Female,31,Beauty,4,50,13,200,06:09:00
885,2022-09-17,121,Female,52,Clothing,4,30,14.4,120,10:10:00
888,2022-12-01,63,Female,52,Electronics,4,25,12.75,100,06:03:00
1220,2022-06-29,47,Male,64,Beauty,1,500,240,500,11:16:00
1339,2022-11-10,132,Female,22,Electronics,2,25,7.5,50,10:34:00
1785,2022-02-20,144,Female,31,Beauty,4,50,17,200,11:17:00
1885,2022-11-09,148,Female,52,Clothing,4,30,10.8,120,07:32:00
1888,2022-06-14,49,Female,52,Electronics,4,25,12.5,100,08:10:00
621,2022-04-13,138,Female,40,Beauty,2,500,275,1000,09:55:00
1621,2022-09-22,2,Female,40,Beauty,2,500,160,1000,10:49:00
52,2022-09-19,55,Female,36,Beauty,1,300,111,300,09:42:00
536,2022-08-20,17,Female,55,Beauty,4,30,8.7,120,06:25:00
1052,2022-02-12,94,Female,36,Beauty,1,300,120,300,06:12:00
1536,2022-05-11,14,Female,55,Beauty,4,30,13.5,120,07:23:00
197,2022-04-03,14,Female,42,Clothing,4,50,25.5,200,11:57:00
750,2022-11-13,69,Female,35,Clothing,3,25,8.75,75,07:33:00
910,2022-08-21,138,Female,20,Beauty,3,50,22.5,150,06:29:00
917,2022-02-15,120,Female,57,Electronics,4,50,16.5,200,11:50:00
1197,2022-08-13,77,Female,42,Clothing,4,50,19,200,10:07:00
1750,2022-01-20,138,Female,35,Clothing,3,25,7.25,75,10:10:00
1910,2022-10-09,141,Female,20,Beauty,3,50,18,150,06:22:00
1917,2022-05-02,52,Female,57,Electronics,4,50,24,200,07:17:00
198,2022-05-21,30,Female,54,Beauty,3,300,114,900,11:42:00
444,2022-10-06,51,Female,61,Clothing,3,30,15.9,90,07:06:00
547,2022-11-14,3,Male,63,Clothing,4,500,250,2000,07:36:00
705,2022-09-30,37,Male,60,Electronics,2,25,6.25,50,07:28:00
1198,2022-08-07,147,Female,54,Beauty,3,300,159,900,10:43:00
1444,2022-04-29,135,Female,61,Clothing,3,30,14.1,90,06:18:00
1547,2022-08-11,142,Male,63,Clothing,4,500,235,2000,06:39:00
1705,2022-08-14,94,Male,60,Electronics,2,25,8.75,50,08:32:00
423,2022-07-18,41,Female,27,Clothing,1,25,11.75,25,06:06:00
1423,2022-06-15,131,Female,27,Clothing,1,25,11,25,07:56:00
248,2022-07-02,5,Male,26,Clothing,3,300,126,900,07:11:00
360,2022-09-09,26,Male,42,Clothing,4,25,10.5,100,09:04:00
377,2022-09-13,141,Female,46,Clothing,4,50,18,200,08:30:00
1248,2022-09-08,68,Male,26,Clothing,3,300,111,900,08:20:00
1360,2022-06-18,93,Male,42,Clothing,4,25,6.25,100,09:31:00
1377,2022-03-21,71,Female,46,Clothing,4,50,14,200,07:52:00
397,2023-10-26,59,Female,30,Beauty,1,25,10.5,25,08:06:00
623,2023-11-15,39,Male,34,Clothing,3,50,26,150,10:00:00
1397,2023-01-01,6,Female,30,Beauty,1,25,11.75,25,11:05:00
1623,2023-03-05,76,Male,34,Clothing,3,50,22,150,06:14:00
717,2023-11-30,8,Male,57,Clothing,1,500,190,500,08:15:00
1717,2023-01-12,21,Male,57,Clothing,1,500,175,500,09:40:00
130,2023-06-19,114,Female,57,Clothing,1,500,125,500,06:21:00
658,2023-10-30,93,Male,59,Clothing,1,25,6.5,25,07:47:00
1130,2023-02-20,28,Female,57,Clothing,1,500,180,500,09:03:00
1658,2023-04-10,148,Male,59,Clothing,1,25,12.25,25,06:08:00
